序号	汉字	字频
974.	叠	537
975.	省	536
976.	鞭	535
977.	倒	534
978.	丈	533
979.	陇	533
980.	羞	531
981.	洗	529
982.	歇	529
983.	驰	528
984.	寿	527
985.	友	527
986.	扇	525
987.	严	524
988.	庐	524
989.	畔	524
990.	浓	523
991.	鳞	522
992.	蝶	521
993.	系	521
994.	妇	521
995.	坛	520
996.	侣	520
997.	昭	519
998.	鹿	519
999.	醒	519
1000.	际	518
1001.	驻	517
1002.	娇	517
1003.	岛	516
1004.	苏	516
1005.	笙	516
1006.	逸	515
1007.	母	515
1008.	迥	514
1009.	佩	513
1010.	延	512
1011.	候	512
1012.	丽	511
1013.	埃	511
1014.	适	509
1015.	彼	509
1016.	窥	508
1017.	除	508
1018.	涛	508
1019.	裳	508
1020.	瑞	508
1021.	趋	508
1022.	致	507
1023.	阔	507
1024.	秀	505
1025.	黑	504
1026.	韵	503
1027.	簪	503
1028.	鬼	503
1029.	虫	503
1030.	布	501
1031.	忍	501
1032.	睡	501
1033.	柏	500
1034.	辛	500
1035.	层	499
1036.	驿	499
1037.	雀	498
1038.	伊	497
1039.	话	497
1040.	荐	495
1041.	劝	495
1042.	止	495
1043.	羁	495
1044.	郁	494
1045.	济	492
1046.	熟	492
1047.	刘	491
1048.	甲	491
1049.	宇	490
1050.	鼎	490
1051.	谓	489
1052.	果	489
1053.	扶	488
1054.	杂	488
1055.	乍	487
1056.	杖	487
1057.	富	487
1058.	兄	486
1059.	迁	484
1060.	表	484
1061.	印	484
1062.	堤	481
1063.	樵	481
1064.	抛	481
1065.	扉	480
1066.	政	479
1067.	冲	479
1068.	推	478
1069.	咽	478
1070.	邑	477
1071.	零	476
1072.	戍	474
1073.	贱	473
1074.	买	471
1075.	险	469
1076.	衡	468
1077.	蒲	468
1078.	支	467
1079.	仪	466
1080.	辰	466
1081.	杏	464
1082.	鲜	463
1083.	纤	463
1084.	姓	461
1085.	退	461
1086.	肃	460
1087.	展	460
1088.	奔	460
1089.	懒	460
1090.	固	459
1091.	委	458
1092.	射	458
1093.	集	457
1094.	累	457
1095.	笛	456
1096.	促	455
1097.	场	455
1098.	瑟	454
1099.	壑	453
1100.	戈	451
1101.	切	451
1102.	环	451
1103.	索	449
1104.	改	448
1105.	免	448
1106.	槛	447
1107.	腾	447
1108.	虏	447
1109.	伏	447
1110.	读	447
1111.	芙	446
1112.	霁	446
1113.	酌	446
1114.	酬	445
1115.	袅	445
1116.	烦	444
1117.	寸	443
1118.	摧	442
1119.	梧	442
1120.	父	442
1121.	祖	441
1122.	崖	440
1123.	进	440
1124.	顶	440
1125.	网	439
1126.	屈	439
1127.	陆	439
1128.	篱	439
1129.	旷	437
1130.	澹	437
1131.	铜	437
1132.	痕	436
1133.	写	434
1134.	裁	434
1135.	造	434
1136.	履	434
1137.	炎	433
1138.	暑	433
1139.	了	433
1140.	尧	432
1141.	己	432
1142.	焚	432
1143.	符	431
1144.	韩	430
1145.	汝	430
1146.	恶	429
1147.	钩	429
1148.	巫	429
1149.	雅	428
1150.	司	427
1151.	皎	426
1152.	宣	426
1153.	裴	426
1154.	堕	426
1155.	弓	425
1156.	畏	425
1157.	仁	424
1158.	晖	423
1159.	味	423
1160.	脱	423
1161.	芜	423
1162.	次	422
1163.	勿	422
1164.	佛	421
1165.	蓉	420
1166.	返	419
1167.	托	418
1168.	羊	417
1169.	甚	416
1170.	翩	416
1171.	妙	415
1172.	阻	415
1173.	泊	415
1174.	鹭	414
1175.	请	414
1176.	姿	414
1177.	振	413
1178.	贞	413
1179.	记	413
1180.	曹	413
1181.	珍	412
1182.	赐	412
1183.	座	412
1184.	渭	411
1185.	陪	411
1186.	亡	410
1187.	换	410
1188.	犬	408
1189.	侧	407
1190.	柱	407
1191.	号	407
1192.	旦	406
1193.	丰	405
1194.	违	405
1195.	磬	405
1196.	鸥	405
1197.	踪	404
1198.	巷	404
1199.	箭	403
1200.	压	403
1201.	竿	403
1202.	茶	403
1203.	绵	402
1204.	觞	402
1205.	岐	402
1206.	宠	401
1207.	益	401
1208.	蛾	401
1209.	孟	401
1210.	律	399
1211.	吐	399
1212.	束	398
1213.	灰	397
1214.	乾	396
1215.	资	395
1216.	左	395
1217.	霭	395
1218.	箫	394
1219.	善	393
1220.	龟	393
1221.	染	392
1222.	栽	392
1223.	芝	391
1224.	挥	391
1225.	娥	391
1226.	砌	390
1227.	聚	390
1228.	潇	390
1229.	宛	389
1230.	宦	388
1231.	踏	388
1232.	唐	386
1233.	视	386
1234.	翰	386
1235.	废	385
1236.	置	385
1237.	掌	385
1238.	态	385
1239.	伯	385
1240.	妨	385
1241.	萦	384
1242.	激	383
1243.	团	380
1244.	戏	379
1245.	织	379
1246.	猎	379
1247.	氏	379
1248.	籍	377
1249.	朔	376
1250.	峨	375
1251.	社	375
1252.	占	375
1253.	总	374
